,text,joy,anger,fear,sadness,disgust,person
15,Because it will address terrorism while macron wants nothing and wants us to work even more for nothing won I won 1000 euro by me working 172h per month that it be stopped we all thing has pay and a life to live and not survive,0.136223,0.08893,0.306874,0.457755,0.231242,macron
16,Not because I have friends who vote the pen and macron whichregistration and white whichregistration ,0.360244,0.319861,0.051127,0.123091,0.268859,macron
17,Because marine feather equipmcnt pass and any person not vote for French macron ,0.135073,0.066817,0.080677,0.174252,0.093784,macron
18,I think M macron is what I expect a policy for France.,0.039342,0.168716,0.062476,0.15549,0.201086,macron
19,"Mr macron will election because he wants to make savings, unemployment pants, retirement juice not apls that serves many will not delete.",0.074831,0.336439,0.050603,0.363271,0.083264,macron
20,Mr macron and for the rich ,0.601483,0.200659,0.029761,0.087966,0.020941,macron
21,Because macron is the best,0.89651,0.005711,0.008198,0.003323,0.000478,macron
22,Because macron has a good program ,0.822839,0.017679,0.045618,0.055606,0.008525,macron
23,I think macron will win ,0.78382,0.066928,0.069903,0.050989,0.044794,macron
24,"Navy thinks President because his program is much more comprehensive than the macron. We try all schemes except that lextreme right. At their current French not nothing to lose but all was win. Mr macron is just a puppet who want to govern a country that fractions and measurement time is destroyed. It is not all has the height. Its still a kid who thinks, rich.",0.536558,0.226365,0.173542,0.196247,0.077518,macron
25,People are voted for macron can Lepen are programmed is not very clear,0.246901,0.149392,0.04317,0.211435,0.480733,macron
26,"Basically I am not agree with the person who is etai elected, dėjà because it tell us something will not hold, will leave the rule unnecessary. I can't understand how why today our French we vote for this kind of president more than it was ripped off the state ..... jhaluccine Marine pen and a fashiste while normally we should be in the laicitė respect for each other, normally a sadistic racist person it does not power my it encloses, And macron is not better than it. 2.",0.040844,0.504638,0.041938,0.351803,0.340788,macron
27,I think that Mr. Miranda macron freshness has France as a renewal of good thing ,0.61617,0.059953,0.073255,0.060491,0.074116,macron
28,The person who will won the elections is Madam LE PEN because it is more sincere macron macron said that lies ,0.133293,0.395236,0.133086,0.371388,0.134513,macron
29,It was a great thing to help macron,0.800791,0.008932,0.04979,0.037777,0.007145,macron
30,"I think Mr. macron remporteras this election with Madam pen, I think it is more convincing and he has a real project for France.",0.105379,0.379881,0.339087,0.200139,0.075524,macron
31,Because macron is young and all voters end almost Melenchon and Fillon are left movement in march ,0.123513,0.071093,0.204598,0.605609,0.214291,macron
32,"Mr macron is more or less the continuity of Mr holland euro we eat ex: baguette bread bakery in 2.80 franc franc wand today 1.10 euros or 1 ,10x6.55957 = death for us small French ",0.042577,0.136079,0.142752,0.575607,0.330411,macron
33,For me I think the pe will gagnier as French donation led not very intelligent not voyent that the point France will be lost. But even if it is password macron is all lost.  In truth the best solution for France keeps its power is to leave Europe that takes us. Before European we are French.  Freedom equality fraternity or go?,0.071204,0.196458,0.132334,0.752028,0.054541,macron
34,I think navy will win all simply because we cannot leave macron won,0.715139,0.061216,0.046861,0.135405,0.069519,macron
35,"Macron is facing The pen, most voters for this second round will not vote FOR macron but against Navy the pen.",0.11884,0.25189,0.172928,0.232812,0.172018,macron
36,I think the think a better president than macron because it has many good arguments and responds more to need people that macron ,0.38603,0.317626,0.046019,0.303645,0.047188,macron
37,Because what wants to change to French without putting us batton in the wheels!! Life is biien too dear why vote macron and let ruin not thank you. ,0.545402,0.136563,0.069376,0.153712,0.091046,macron
38,I think is because marine macron'll engulf France tomorrow,0.206444,0.056652,0.317604,0.240265,0.038021,macron
39,Because macron wants to live with terrorism and the pen is removed terrorism and because uttons wants to remove some financial aid while the pen wants to add 1000 € per years small retirement and related person can money.,0.029709,0.190754,0.255688,0.317903,0.194543,macron
40,I think macron win despite elections l ¦;,0.188341,0.251022,0.053531,0.575741,0.065547,macron
41,"The French don't want to leave the European Union. It is everywhere voted macron. Today out of Europe, I do not too.",0.106798,0.184074,0.116371,0.498011,0.311513,macron
42,I think that will win because macron and a has all journalists more bankers more former Presidents in his pocket. And the other is trying to do good is inventing a program last minute. People believe what they say so it is on he will move to power. While it has no respect for the people ...,0.490577,0.110846,0.021617,0.217495,0.288144,macron
43,Yes because she wants to just lower the foreigners from macron this remove lpl and any aid ,0.062739,0.062778,0.05566,0.351062,0.127909,macron
44,Some of my friends feel the same thing and other are not because they believe in you Emmanuel macron but good each his vision of things ,0.728861,0.039666,0.056018,0.177412,0.01146,macron
45,Emmanuel macron will be president because too many Barage against Navy THE PEN and the FN and then the French were afraid of change to try something different ,0.030901,0.065519,0.68773,0.097001,0.031655,macron
46,From the point of view of the Ms. Lepen is much more concrete that Mr macron remains vague on these project. ,0.42647,0.157102,0.053712,0.089924,0.074186,macron
47,Navy lepen has the honour to represent France As values of our country. She wants to change something that are important in life of each French citizen macron when it has a notice for the most wealthy person and the way of life form of each French and think q a thing is becoming president to conduct even more discord ,0.577569,0.071358,0.064729,0.169684,0.096059,macron
48,The French are afraid of FN so they vote by default macron,0.021544,0.025308,0.877606,0.048749,0.096553,macron
49,I started my friends in the navy parties pen because they are like me that it has very good ideas and that it is the only one who can get things because macron government party has doing Holland and 5 years he has not held commitments say.,0.634299,0.068409,0.126747,0.191094,0.041037,macron
50,Macron I v not vote against lepen but for macron,0.157933,0.09194,0.099978,0.161819,0.072867,macron
51,Neither the penni macron,0.179551,0.088473,0.091248,0.148831,0.074744,macron
52,Because navy has not benefited from the debate to present his project She did criticize the 5ans Holland and say intoxs macron instead of talking about his project for the next 5 years and ct injury,0.46743,0.150256,0.139346,0.10157,0.16975,macron
53,"Because people can be fn but not Mr macron while both are at the same level as them rich person doing low back, not ever work in ehpad and devalues the business, as our salary",0.08011,0.05896,0.097064,0.652181,0.324238,macron
54,I think economic level with mr macron we will plunge,0.123505,0.159074,0.293476,0.150408,0.141132,macron
55,I think macron es a thief work more to earn more what his greenhouse for a pti worker I would like to see our place ,0.039053,0.223435,0.091197,0.275675,0.095407,macron
56,Because France and especially the French can give power to an extremist party therefore their only solution remains macron,0.573116,0.118135,0.042427,0.13086,0.049852,macron
57,"Macron will certainly win the election, the media to ensure that it goes like this, people have a bad idea to marine pena cause of her father yet just read his program (much more coherent than the macron) to find that it is different. We have never had a woman in power, nor the fn, we cannot know what it is if we are not. But people are afraid of change and will therefore, I think, elect macron, remain in the same boat, or worse, that today.",0.02197,0.057069,0.547428,0.505711,0.13879,macron
58,Because macron is well,0.636885,0.02579,0.07118,0.09424,0.023587,macron
59,"The two candidates from the second round is certainly a program but it is not, however, that French citizens desire. Voting macron this is not vote for its program or because it represents what is but vote for him come back to vote for the least worst of both. And all the world where most people think it is the least worst in terms of succession.",0.201229,0.053255,0.065036,0.589671,0.260911,macron
60,For me personally is macron because its programme is clearer and better study because it takes into account all the key factors that hindered or little success. ,0.771579,0.07477,0.054534,0.026604,0.011126,macron
61,It think macron will be elected ,0.16795,0.128534,0.162508,0.186836,0.108831,macron
62,"Most of my relatives also believe that navy can bring us a renewal, and in the current trend of things, we provide more security. They think égaldément macron that we bring nothing good, just more misery while we, as a citizen of middle class, already great difficulty we out.",0.371506,0.092063,0.113088,0.257811,0.134924,macron
63,My friends pence macron and a good my otherwise the same thing thing pence me ,0.75881,0.053475,0.070268,0.11442,0.015504,macron
64,In view of the errors mr macron France woke up on the past. ,0.05644,0.157512,0.193768,0.753986,0.036706,macron
65,"I think macron will president because many other candidate we asked their constituents not to vote the pen, the national front scares many French but the change is scary but this is not as a bad thing is why I vote Marine Le Pen ",0.009551,0.098225,0.850398,0.172216,0.136408,macron
66,For all media assassinate the reputation of Marine Le Pen against his father Jean Marie.Et they are all in favour of macron,0.355041,0.174481,0.083571,0.237649,0.104043,macron
67,Will manage the points or Mr macron failed,0.010222,0.290694,0.270816,0.65835,0.052928,macron
68,I think the artisans have more luck with lepen that with macron,0.458425,0.139225,0.194303,0.158466,0.024299,macron
69,All l macron is much more than for the pen except that the wheel turns. All can change in the second round ,0.14506,0.316561,0.30601,0.254761,0.01291,macron
70,I pance that its navy will lepen will parsque simply emanuelle pete macron above his ass and pance that compare him to Navy lepan moin wants to move the france soetir up to the economic downturn shit my opinion,0.04717,0.477569,0.088752,0.369704,0.327441,macron
71,Because it has a future for the average citizens compare macron that needs washing after each hand cuffs hand and feels dirty I cannot find its worthy of a president ,0.224282,0.092592,0.195121,0.185218,0.355742,macron
72,He want to vote the pen because it think macron is 2nd holland but I think it croivent that the pen will leave the French well-functioning,0.144069,0.337652,0.139,0.370356,0.101988,macron
73,"I think a macron, because people are afraid of marine pena cause is are father said when he go to the presidential election, we know all about the FN will not ....",0.004728,0.086386,0.81019,0.218144,0.139156,macron
74,Yes because marine Pena held a speech on these promises to relieve France that will then emmanuel will be even lower macron France. ,0.278111,0.070142,0.222811,0.292445,0.240622,macron
75,Yes because it will be always less worse than macron ,0.009904,0.258233,0.18248,0.717706,0.12136,macron
76,I think the French have already tried many different policy but none has function and macron is part of the policy has already tried work with Mr. Holland we all well view that nothing had changed so false try another policy ,0.047627,0.134542,0.185635,0.544569,0.09558,macron
77,"He thinks the macron Directive will slave and I think it is true, its a dictatorship.",0.170533,0.085417,0.269454,0.445229,0.167044,macron
78,"It is a useful vote dam marine pen, but in no case I believe voted macron is a good choice",0.744795,0.156375,0.018465,0.049029,0.035866,macron
79,She has d more objective that mr macron,0.150989,0.170982,0.090294,0.126856,0.058576,macron
80,Marine pen already because we cetait and appercu macron is a con then if with all the crap that balance it even on him and roof is that the press finds it is elected president bravo to the French people submitted ,0.081467,0.479141,0.174325,0.365986,0.091424,macron
81,It is the future of France émanul macron,0.296357,0.009948,0.079684,0.078331,0.019638,macron
82,I think Marcrin gonna win these elections because despite the fear of French Navy remains far from the future with all its campaign.,0.04713,0.036054,0.860299,0.098962,0.066295,macron
83,"I think macron is the result of hollandisme, however think chaos so I vote useful ",0.284839,0.466896,0.090456,0.116093,0.091471,macron
84,Rise of racism in France. A very little program detailed by Mr. macron and disturbing social reforms.,0.033953,0.281691,0.25456,0.113146,0.458128,macron
85,I wanted to abbord vote for melanchon I'll vote for macron obligation ,0.212539,0.177358,0.043281,0.201175,0.473302,macron
86,"I think Navy is the only really want the good of this country and for everyone unlike macron: who, only supports the finance and cares of workers, pensioners or disabled ... Macron is just 1 crook",0.102394,0.25672,0.024652,0.34328,0.530529,macron
87,"I think macron is best placed to have a presidential place.  He has credible program to our future at all. It should just act after fine words.   The pen is good also but I remain fixed on macron, because for me it is important day today to have a progress later and not words.    I support this campaign because this shows also France and our country and I think many credible people not vote macron fear that the change would too suddenly.    Beaucoups things will change if macron password. And for its program I would be very happy that its reality. ",0.652842,0.068383,0.647974,0.115141,0.053118,macron
88,Yes to accept less macron everyone,0.464328,0.119226,0.06214,0.350955,0.034242,macron
89,Caron is not its macron baby Holland it'll destroy France ,0.068989,0.528551,0.130678,0.338311,0.226972,macron
90,Yes my friends think like me and we believe that with someone like mr macron it is likely that France will have a great change ,0.657349,0.066423,0.059864,0.139966,0.028002,macron
91,They think the same thing as me That is to say that neither the other are very famous but macron to a small. ,0.372745,0.249663,0.098695,0.313647,0.048265,macron
92,Living macron suppressant lepen,0.543375,0.038861,0.101607,0.220787,0.053718,macron
93,He did not think the same thing will vote macron knowing that we have demonstrate against the law el komhri and macron is for the law work,0.148177,0.228151,0.217154,0.241739,0.296907,macron
94,I think c macron that will win the election because Madam pen not merit and almost all the people imigré want to do lol),0.353696,0.149617,0.213318,0.381594,0.048813,macron
95,I am neither for or pen macron,0.098873,0.312008,0.156789,0.094935,0.039721,macron
96,Because mr macron is not be to not know if he and right or left and I pence that its gonna As mr holland. And Marine Le Pen has good idea and even if we do not like its gonna be referendum therefore no reason to vote not navy.   ,0.46631,0.141663,0.124565,0.325559,0.01762,macron
97,The opinions are decide between marine lepen and macron the choice and opinion is the same need to change France and recover our country and if it has a yen that can succeed is marine lepen ,0.248281,0.125084,0.339796,0.131509,0.168754,macron
98,My friend pence mele thing because the macron will not help us because it will fuck any and we will in the shit,0.008671,0.902728,0.07174,0.083339,0.184095,macron
99,"Emmanuel macron will be president, during the debate Marine Le Pen was not convincing enough and spend a lot next to the question. Was it no argument to protest against macron and the whole france ",0.294286,0.339569,0.137149,0.196623,0.229578,macron
100,I think Macron will pass because Marine Le Pen has a program too aggressive while macron has a program more stable and more realistic in terms of the economy. Certe a program difficult to hear for some but more realistic than marine pen.,0.116842,0.222058,0.317657,0.360666,0.036502,macron
101,Because its project and much better than the macron,0.876663,0.01804,0.033428,0.036967,0.006655,macron
102,"The draft Madam Pen until present is nothing good, it PPIM complicated abstract and empty in some parts. Even if I am not agree with Mr. macron, defend its project and qait it. Madam pen it feels just wants to win to push foreign outside france, frankly, it is not what we need.",0.253344,0.277813,0.20695,0.335589,0.138217,macron
103,Lepen is more about macron) is rather delle indesit is lesser talent,0.15001,0.103565,0.18144,0.352476,0.048801,macron
104,So it will macron will win because the media want to be him and we know that his media decide. ,0.509724,0.221342,0.085576,0.088894,0.179103,macron
105,For me the right choice for France v macron President ,0.51784,0.098737,0.035404,0.103668,0.129261,macron
106,His macron because he will bank its side and many other people I wonder if our vote really know who account,0.099313,0.165676,0.086833,0.517377,0.365204,macron
107,I vote for Mr. macron because it has positive idea for the future of my country,0.856471,0.018907,0.02391,0.031445,0.039206,macron
108,"Yes because Marine Le Pen divide while macron will not better but not divide the French between them, there will be less hatred",0.089004,0.599604,0.078606,0.212717,0.083148,macron
109,Compare macron. The Pen pence has all these taxes that we are poverty. And these pensions that can pay their rent while he wants scams macron France and take all are money,0.05073,0.575647,0.015911,0.191766,0.22967,macron
110,Because marine Pence that she said is true.  Because macron am not closed borders and not project for the immigration therefore Marine Le Pen is more convincing and more serious for France and our future marine c is the Pen,0.353957,0.203027,0.136926,0.110995,0.059534,macron
111,"Macron will prevail because great debate, navy pen was constantly in the attack against certain things etc that not questions journalists and emmanuel macron is defandait as bad attacks, defandait project by answering the questions.  ",0.018573,0.498087,0.515537,0.118363,0.22773,macron
112,I would like this itself Pen is elected but in my opinion the French are so stupid that will vote for a macron souhadisant declining residential tax while the rest will increase it's sad really sad!  ,0.004074,0.207968,0.132261,0.787171,0.154891,macron
113,"I think that voting Macron is the right choice for our country because we advocate freedom, equality and fraternity.   Voting Marine Le Pen is going against the values of our Republic.     France is the mixture, the métissage and we are proud.",0.76476,0.060254,0.041774,0.089871,0.067473,lepen
114,It ya of people we look at the debate carefully and my said Pen against other my said acron just because it does not want the Pen is preferred to be in the shit by profit and judgment,0.089452,0.708314,0.137078,0.07614,0.257245,lepen
115,Navy Lepen has air and I said well air trying to interest the French population too long forgotten so long forgotten that families are decimated by going to see a concert or a fireworks and more france never was governed by the fn and when we see the results of previous parties after all why not. Mr Macron has the air that always has to complete his bank account in rotschild,0.350782,0.098569,0.148752,0.412014,0.065018,lepen
116,For fear of Le Pen vote for Macron,0.0338,0.034622,0.928493,0.022065,0.067817,lepen
117,"Because I think Madam Le Pen is too aggressive, that it will not what she said, I think a good President must perform its program without forgetting that it must first complete what former President did not end which is not his case, if it is President, it will change everything and nothing will, I also find that a President must ask the people what they want exactly and not do what the President wants and then it keeps breaking sugar on Mr Macron While it is not better.",0.327846,0.433179,0.096297,0.193537,0.116545,lepen
118,For Marine Le Pen has been know for years and that are programs and any is good and it is the only one that could leave France shit. Macron and a insposteur it is not fate of null and it farts above his ass down you're person and you is not up to get France shit ,0.051815,0.583952,0.085129,0.273344,0.328985,lepen
119,I think Mrs Le Pen really want found France in time and enable young people to find more work,0.293976,0.16335,0.205529,0.405701,0.05419,lepen
120,Just to make dam Ms. Pen ,0.138343,0.248882,0.145918,0.089719,0.047718,lepen
121,Marine represents France wants to return undocumented and get frank ,0.187768,0.127197,0.077105,0.213351,0.103024,lepen
122,"Quite simply because the French people not gonna vote for Mr Macron but against Ms. Le Pen, France as currently need any of its two president, but the choice of the people will theory in favour of the candidate In March rather than to the National Front. ",0.359398,0.066497,0.130971,0.346042,0.207975,lepen
123,I hope that Marine Le Pen will win the election must change it knows is that it is to be a French family she knows the difficulties it deserves to win,0.49929,0.179294,0.06804,0.22018,0.069048,lepen
124,Pence the same thing as me ,0.465115,0.159921,0.194149,0.189809,0.034927,lepen
125,Marine Le Pen because France Is management-led Danger es Only Marine Le Pen can help us find France ,0.232548,0.22888,0.294993,0.090109,0.074758,lepen
126,During the 20ans years the capital of 1pour 100 richest people in the world is increasing. The rich are becoming richer and the poor are increasingly poor. The solution of the Marine Le Pen can counteract this phenomenon at least for the French. ,0.225017,0.175574,0.125244,0.556626,0.087054,lepen
127,Because it years that we have done by the Socialists and other parties and that Macron wants to add taxes while Le Pen wants to save France in removing registered S while Macron said that we should get used to terrorism so I would like to see the day when a terrorist kills his wife and children and that the Mr. will complain to the TV has this time I would just want to tell him but M Matin is you had the need to get to terrorism then Not just complain,0.006906,0.368304,0.210497,0.457338,0.32052,lepen
128,"Because people are afraid of Marine Lepen and large, patterns will necessarily vote macron",0.08062,0.018072,0.831546,0.0422,0.050888,lepen
129,Marine pen,0.135277,0.236382,0.126915,0.096183,0.050058,lepen
130,"No, because for them Navy Pen will be better at levels are programs against employees.",0.331543,0.148778,0.040177,0.074596,0.024169,lepen
131,"Yes, because we are young, and that even if young people have not seen their candidate through second round, they are not stupid to go to combat voting for Mrs Le Pen. We believe that the solution lies elsewhere that between these two candidates unfortunately.",0.471457,0.096138,0.084628,0.375297,0.025408,lepen
132,Not the Pen is saying that its will be worse,0.006864,0.247325,0.202945,0.643401,0.219516,lepen
133,Marine pen because it is more honest than mr macron ,0.139149,0.243548,0.118035,0.114375,0.028356,lepen
134,"Marine Le Pen for years are known with extreme party is crossing which are sometimes the buzz, Woman of character, it seeks the interret of French regardless of its own religion unit partri and primary objective ",0.397097,0.15913,0.11112,0.246786,0.083672,lepen
135,In early I thought would be its Marine Le Pen because I told them that it is favorite to win the presidential elections but my final choice was to say that Emmanuel Macron will no doubt or at least what I hope President of the Republic for 5 next year.,0.410371,0.138377,0.229417,0.207735,0.162336,lepen
136,"Marine Le Pen is too afraid with its extreme right-wing ideas, either for my closure of borders, and several other points on the ith companies including. Yet Emmanuel Macron is for my part far from better. Liberalization of the French economy is for me a social decline despite the benefits that it may have. It is simply less afraid to French. Choose better take the ""less worse"" that the ""worst of the worst"" ",0.04119,0.065882,0.746055,0.334538,0.030288,lepen
137,I do not think because thats the same Holland but vote for Le Pen would be worse,0.027623,0.360488,0.182259,0.451643,0.325425,lepen
138,Because I think that Marine Le Pen can save France unlike Emmanuel Macron it will sink France and the French economy.  ,0.118068,0.299447,0.437608,0.300871,0.084344,lepen
139,I think it must be navy Pen because it let see if a woman better manages the country and also because its program is most appropriate to our country. I never vote for a man who wants us to work when slaves and pay us more knowing that with what is currently there life is survival.,0.289435,0.112368,0.285853,0.170971,0.129349,lepen
140,The genets are afraid of FN because it was created by Jean Marie Le Pen prefers to vote for the double m. Holland ,0.168619,0.045367,0.655515,0.091015,0.04002,lepen
141,Marine pen it has good idea which can help us,0.681508,0.049608,0.095288,0.048491,0.016438,lepen
142,They agree with me because Marine Le Pen has been know for some time and that it is crazy not the French Hangul ,0.503866,0.126,0.080694,0.125588,0.115086,lepen
143,Navy all forces necessary to become president it has good idea for us French citizen ,0.495051,0.131539,0.132077,0.224845,0.078761,lepen
144,"I think Navy will win Caron heard people of all backgrounds and all backgrounds who are beginning to open their eyes and support. She has completely change the Fn: a time when it was his father, I would never vote fn But since it's Navy: everything has changed and I am fully for this political party because I am deeply committed to French values and opposed to extremism in any area. At COOKIES (38), I see every day is pushed to the extreme social and problems with foreigners: those who have made studies, work ... are deported to their country of origin, and those who are problem and attacking people, recognize children who are not having their papers ...: those we care and we degrade our beautiful france. Like me personally I am victim: 1 Burkina Faso beat me and lied to make place My baby at the age of 8 months, the border police had yet seen walks with 3 identity for himself and he went to a network of trafficking in paper, recognized my son without my agreement then it is not the father and refuses to do the DNA test yet imposed by the prosecutor ... he try to type the small several times. Several times I saw spirited dealer outside. But the prosecutors to close all surveys.    I have 1 Tunisian husband, that I know since 2014 and we're together only since 1 year, and we are separated for 1 simple history of paper: I expect her baby and I am only for pregnancy Caron does not give him visa then that we love and that I cannot travel pregnant and more Jaimes children placed by the judge children and I try to recover. While my husband to always work in 2014 it was in France and was expelled because of a visa expired en2015. I fell pregnant when I am go see Tunisia: we love so much, every day is the camera, called ... and we want to spend our lives together, whether for me during the end of pregnancy and childbirth but impossible to have 1 visa. It is urgent to change the laws of foreign person in our situation. And that the bad people like the Burkinabé are following expulsion.  Can you issue 1 visas to My husband Tunisien to come help me please? I found no one to help me then that 1 father and that we really like. Thanks",0.568124,0.444408,0.146321,0.562957,0.128696,lepen
145,Because the French will certainly realize that Marine Le Pen is not the solution to the problems .. Even if Mr Macron is not. Better worth stagnate aggravate things. ,0.216468,0.141745,0.118355,0.567121,0.072848,lepen
146,Marine Le Pen and a good choice for the future of the French people.,0.739552,0.052859,0.075188,0.09343,0.027556,lepen
147,Macron looks like Holland and He presents a project that Marine Le Pen-then I know very well who vote,0.63164,0.09018,0.076417,0.073422,0.116885,lepen
148,Macron will win the presidential election because France to fear of Marine Le Pen ,0.047594,0.034958,0.901368,0.026643,0.064732,lepen
149,I think Macron and more credible than Marine Le Pen Marine Le Pen toenologues still mm speech.,0.289143,0.195753,0.132668,0.14228,0.049341,lepen
150,It is the same thing as Marine Le Pen and too radical.,0.332103,0.17876,0.145427,0.146155,0.045953,lepen
151,It is Navy will win the election because most people as if can satisfied with previous presidents that they think that extremist can change things.,0.458347,0.167598,0.096924,0.157356,0.17916,lepen
152,Navy lepen has,0.179551,0.088473,0.091248,0.148831,0.074744,lepen
153,Marine pen because it and great,0.633468,0.086092,0.064455,0.023534,0.010017,lepen
154,The Navy pen and only want to ensure that the problem of the france this rule and the only face face and it has not afraid of safirmer ,0.052396,0.096552,0.245959,0.368331,0.083298,lepen
155,No I do not house was too choice between Emmanuel Macron and Marine Le Pen ,0.404204,0.14017,0.135887,0.148484,0.049734,lepen
156,"For the moment I don't know if I'll vote Blank or Macron because it is not the solution for all Vangelis that each lives in daily or for the economy, but he has better arguments that Le Pen.",0.447128,0.187433,0.122445,0.358008,0.00662,lepen
157,Navy has the same idea that his father ,0.394612,0.08079,0.057486,0.301054,0.099495,lepen
158,It think the Pen and racist not all,0.111428,0.338306,0.213276,0.108552,0.065575,lepen
159,More convincing on projects that Navy The debate pen,0.2866,0.383275,0.204123,0.053012,0.186523,lepen
160,Methologie Marine Le Pen explicit in relation to Emmanuel Macron who flees the subjects ,0.141266,0.397509,0.289312,0.087537,0.156985,lepen
161,"Button, because I think there is not enough public with Marine. That France is not a country that French, there are many other citizens whose parents are foreign and that no one is crazy enough to return to his family in the country they have left for various valid reasons.",0.15662,0.191405,0.184656,0.535543,0.149443,lepen
162,I think Mr Macron faces the French will surely wake up and vote Mrs Le Pen if they really want change for our future and for future generations.,0.2068,0.101452,0.229948,0.544373,0.059509,lepen
163,Marine Le Pen is racist and we want it,0.04777,0.478898,0.068395,0.10084,0.454764,lepen
164,I know that Marine Le Pen will not. My vote is a vote against Emmanuel Macron and not a vote for Marine Le Pen.,0.380342,0.165842,0.062632,0.157908,0.240668,lepen
165,Macron since Ms. Pen is racist they just wish to be president for revenge ,0.015438,0.722298,0.053371,0.165964,0.294782,lepen
166,"It is a choice by default, it was the former minister of the economy and a few years France this is more indebted that it was already. But he wants to combat unemployment and help the integration of young people ... There are good and bad side in its programme but as I have said is less worse than Le Pen proposes if it succeeds Holland.",0.176916,0.082365,0.220795,0.600778,0.107904,lepen
167,They think vote Le Pen is to be racist ,0.053128,0.426401,0.038335,0.062236,0.680355,lepen
168,For me Marine Le Pen will win because she wants to change the lives of the current French and not repeat the mistakes that were made. Helping homes means and young,0.582934,0.062684,0.1781,0.095911,0.009676,lepen
169,No I do not but I don't vote for E. Macron itself I vote against Mr. Le Pen. ,0.084659,0.334978,0.173375,0.113274,0.040455,lepen
170,"Given the debate they had last night, it is more than likely that the people vote for Macron. Marine Le Pen has continued to peddle lies, it has upset throughout the debate while Macron has done everything to keep his calm. Moreover, he knows better economic status.",0.074523,0.541343,0.137232,0.367511,0.19088,lepen
171,"Navy thinks President because his program is much more comprehensive than the macron. We try all schemes except that lextreme right. At their current French not nothing to lose but all was win. Mr macron is just a puppet who want to govern a country that fractions and measurement time is destroyed. It is not all has the height. Its still a kid who thinks, rich.",0.536558,0.226365,0.173542,0.196247,0.077518,lepen
172,My entourage Macron will think out and not the Pen because its already all view following the fear of French people,0.029531,0.011573,0.947475,0.044912,0.057594,lepen
173,My girlfriend thinks that Mr Macron is very poorly positioned to become president in effect it is the man who has proposed legislation for these last years.  She thinks leave a chance to Ms. Le Pen to see if it will change.,0.08502,0.194149,0.141254,0.645853,0.095837,lepen
174,"It is that Marine Le Pen, has not really concrete project. It presents ideas that either cannot be achieved or have no sense, it is contradicted and attack his opponents rather than answer questions posed.   Mâcon is different, it has a project and he looks to understand the French, it remains to see if he will be able to keep the promises, Marine Le Pen more for me and a person who wants to contain France on itself and without Europe I think we will be even more in poverty today. It was neighbouring countries that support us and close the borders it would be like saying ""stay home"", after it is my point of view and that is why I prefer Macron even if you don't know what to expect exactly. ",0.435851,0.210439,0.183055,0.200673,0.130064,lepen
175,"Basically I am not agree with the person who is etai elected, dėjà because it tell us something will not hold, will leave the rule unnecessary. I can't understand how why today our French we vote for this kind of president more than it was ripped off the state ..... jhaluccine Marine pen and a fashiste while normally we should be in the laicitė respect for each other, normally a sadistic racist person it does not power my it encloses, And macron is not better than it. 2.",0.040844,0.504638,0.041938,0.351803,0.340788,lepen
176,"My friends think that me, Marine Le Pen think the trick money or Europe think of France and has had the time to study everything",0.387157,0.168008,0.158685,0.295357,0.117089,lepen
177,If the Pen becomes president a civil war might occur.,0.096388,0.393777,0.369192,0.145176,0.094901,lepen
